Высота;;
Глубина;;
Грузоподъемность;;
Давление;;
Диагональ;;
Диаметр;;
Длина;Длинна;
Количество;Количеством;Колличество
Марка;;
Масса;;
Мощность;Мощьность;
Нагрузка;;
Напряжение;;
Наружный;;
Номер;;
Номинальное;Номинальный;
Объем;;
Отверстие;;
Относ;;
Паропроизводительность;;
Перемещение;;
Периметр;;
Плотность;;
Площадь;;
Предел;;
Продолжительность;;
Производительность;;
Прочность;;
Радиус;;
Расстояние;;
Расход;;
Сечение;;
Скорость;;
Сторона;;
Температура;;
Теплопроизводительность;Теплопроизводительность/производительность;
Ток;;
Толщина;;
Усилие;;
Условное;;
Холодоотдача;;
Холодопроизводительность;;
Частота;;
Шаг;;
Ширина;;
